FirstName,LastName,Twitter Handle,St/Dis,Party
Alma,Adams,@RepAdams,NC12,D
Robert,Aderholt,@Robert_Aderholt,AL04,R
Pete,Aguilar,@RepPeteAguilar,CA31,D
Mark,Alford,@RepMarkAlford,MO04,R
Rick,Allen,@RepRickAllen,GA12,R
Colin,Allred,@RepColinAllred,TX32,D
Mark,Amodei,@MarkAmodeiNV2,NV02,R
Kelly,Armstrong,@RepArmstrongND,ND00,R
Jodey,Arrington,@RepArrington,TX19,R
Jake,Auchincloss,@RepAuchincloss,MA04,D
Brian,Babin,@RepBrianBabin,TX36,R
Don,Bacon,@RepDonBacon,NE02,R
James,Baird,@RepJimBaird,IN04,R
Troy,Balderson,@RepBalderson,OH12,R
Becca,Balint,@RepBeccaB,VT00,D
Jim,Banks,@RepJimBanks,IN03,R
Andy,Barr,@RepAndyBarr,KY06,R
Nanette,Barragán,@RepBarragan,CA44,D
Aaron,Bean,@RepAaronBean,FL04,R
Joyce,Beatty,@RepBeatty,OH03,D
Cliff,Bentz,@RepBentz,OR02,R
Ami,Bera,@RepBera,CA07,D
Jack,Bergman,@RepJackBergman,MI01,R
Donald,Beyer,@RepDonBeyer,VA08,D
Stephanie,Bice,@RepBice,OK05,R
Andy,Biggs,@RepAndyBiggsAZ,AZ05,R
Gus,Bilirakis,@RepGusBilirakis,FL12,R
Dan,Bishop,@RepDanBishop,NC09,R
Sanford,Bishop,@SanfordBishop,GA02,D
Earl,Blumenauer,@repblumenauer,OR03,D
Lisa,Blunt Rochester,@RepLBR,DE00,D
Lauren,Boebert,@RepBoebert,CO03,R
Suzanne,Bonamici,@RepBonamici,OR01,D
Mike,Bost,@RepBost,IL12,R
Jamaal,Bowman,@RepBowman,NY16,D
Brendan,Boyle,@CongBoyle,PA02,D
Josh,Brecheen,@RepBrecheen,OK02,R
Shontel,Brown,@RepShontelBrown,OH11,D
Julia,Brownley,@RepBrownley,CA26,D
Vern,Buchanan,@VernBuchanan,FL16,R
Ken,Buck,@RepKenBuck,CO04,R
Larry,Bucshon,@RepLarryBucshon,IN08,R
Nikki,Budzinski,@RepNikkiB,IL13,D
Tim,Burchett,@RepTimBurchett,TN02,R
Michael Burgess,@michaelcburgess,TX26,R
Eric Burlison,@RepEricBurlison,MO07,R
Cori Bush,@RepCori,MO01,D
Ken Calvert,@KenCalvert,CA42,R
Kat Cammack,@RepKatCammack,FL03,R
Salud Carbajal,@RepCarbajal,CA24,D
Tony Cárdenas,@RepCardenas,CA29,D
Mike Carey,@RepMikeCarey,OH15,R
Jerry Carl,@RepJerryCarl,AL01,R
André Carson,@RepAndreCarson,IN07,D
Buddy Carter,@RepBuddyCarter,GA01,R
John Carter,@JudgeCarter,TX31,R
Troy Carter,@RepTroyCarter,LA02,D
Matt Cartwright,@RepCartwright,PA08,D
Greg Casar,@RepCasar,TX35,D
Ed Case,@RepEdCase,HI01,D
Sean Casten,@RepCasten,IL06,D
Kathy Castor,@USRepKCastor,FL14,D
Joaquin Castro,@JoaquinCastrotx,TX20,D
Lori Chavez-DeRemer,@RepLCD,OR05,
Sheila Cherfilus-McCormick,@CongresswomanSC,FL20,D
Judy Chu,@RepJudyChu,CA27,D
David Cicilline,@RepCicilline,RI01,D
Juan Ciscomani,@RepCiscomani,AZ06,R
Katherine Clark,@RepKClark,MA05,D
Yvette Clarke,@RepYvetteClarke,NY09,D
Emanuel Cleaver,@repcleaver,MO05,D
Ben Cline,@RepBenCline,VA06,R
Michael Cloud,@RepCloudTX,TX27,R
James Clyburn,@WhipClyburn,SC06,D
Andrew Clyde,@Rep_Clyde,GA09,R
Steve Cohen,@RepCohen,TN09,D
Tom Cole,@TomColeOK04,OK04,R
Mike Collins,@RepMikeCollins,GA10,R
James Comer,@RepJamesComer,KY01,R
Gerald Connolly,@GerryConnolly,VA11,D
Lou Correa,@RepLouCorrea,CA46,D
Jim Costa,@RepJimCosta,CA16,D
Joe Courtney,@RepJoeCourtney,CT02,D
Angie Craig,@RepAngieCraig,MN02,D
Elijah Crane,@RepEliCrane,AZ02,D
Ric Crawford,@RepRickCrawford,AR01,R
Dan Crenshaw,@RepDanCrenshaw,TX02,R
Jasmine Crockett,@RepJasmine,TX30,D
Jason Crow,@RepJasonCrow,CO06,D
Henry Cuellar,@RepCuellar,TX28,D
John Curtis,@RepJohnCurtis,UT03,R
