tweets,labls
Proud to see the State House doing the work! #NCGA https://t.co/7f3rcHTCUh,D
"RT @RepJamesClyburn: The first Social Security check was issued 83 years ago today to Ida May Fuller.

This crucial social safety net is un…",D
RT @ReubenJones1: Happening Today: @VP Kamala Harris is traveling to Raleigh to highlight the administration’s “investments in America’s sm…,D
RT @cadwego: “@SenBooker (D-NJ) and Congresswoman @RepAdams (D-NC) have introduced the #JusticeForBlackFarmers Act. The key purpose of the…,D
"The beating and murder of Tyre Nichols is unconscionable, and justice should be served swiftly.

I am praying for h… https://t.co/SocFL3c5XN",D
"RT @USProgressives: CPC Chair @RepJayapal and CPC Policing, Constitution, Equity Task Force Chair @RepBonnie echo community demands for jus…",D
"RT @RepJeffries: The brutal and violent killing of Tyre Nichols by officers sworn to protect the community is unconscionable.

Justice for…",D
Simply condemning the Holocaust is never enough. We must teach the history of racism and antisemitism that allowed… https://t.co/D5Wr8e4LRt,D
"“We must take sides. Neutrality helps the oppressor, never the victim. Silence encourages the tormentor, never the… https://t.co/AiS3ECxinV",D
"""Auschwitz did not fall from the sky."" - Marian Turski 

Today, on #InternationalHolocaustRemembranceDay we remembe… https://t.co/pKmr52EUlR",D
"RT @RepMikeQuigley: After 14 years in Congress working to end the FDA's discriminatory policy banning gay men from donating blood, they've…",D
"RT @RepShontelBrown: .@USProgressives Picture Day! 📸
 
Looking forward to advancing racial and social justice in the 118th Congress with so…",D
"RT @SecBlinken: Remembrance is our eternal obligation, but without action it becomes a hollow ritual. We must never be indifferent to human…",D
"RT @RepBonnie: Today and every day, I am grateful for my #AlphaKappaAlpha sorors. 

Here’s to many more years of strength, sisterhood and s…",D
RT @JacksonLeeTX18: Honoring our AKA Founders Day Month as Members of Congress at the statue of Rosa Parks in the United States Congress. O…,D
RT @RepLBR: Grateful to now be in the amazing company of my fellow sorors of #AlphaKappaAlpha on Capitol Hill.💗💚 https://t.co/na6JPRBDlN,D
"My prayers are with the family, friends, teammates, and fans of Anton Walkes as the Charlotte community celebrates… https://t.co/Jgp7iJpcDM",D
"RT @CharlotteFC: Today we celebrate Anton 💙

You will forever and always be in our hearts. https://t.co/lqNgxxOdhg",D
"RT @VP: On the commemoration of the 50th anniversary of Roe v. Wade, let us stand together in the fight to protect reproductive freedom. ht…",D
Wishing everyone good luck and good fortune as we begin the #LunarNewYear! Have a healthy and prosperous Year of th… https://t.co/fM2Ipil9Qp,D
My statement on #RoeVWade at 50: https://t.co/hDjBxhzoF6,D
Thanks to the hundreds of people who attended our State of the District events yesterday! #SOTD23 https://t.co/sbzRaUgQv7,D
The 2023 State of the District in Charlotte is underway! #SOTD23 https://t.co/GjfKcXiE4w,D
"RT @WHCOS: Past two weeks:
✅Unemployment lowest in 50 years
✅ Inflation down six months in a row
✅ Today's new jobless claims a historic lo…",D
Happy to take your questions and talk about Alzheimer’s today. Our family has been affected by ALZ as well. #EndALZ https://t.co/0rhc8NQHvY,D
We’re taking questions from Concord and Cabarrus County residents at #SOTD23. https://t.co/oj5d7N6Xsn,D
#SOTD23 is underway! https://t.co/1reXul2O8w,D
"Today’s the day! 

Hope to see you in Concord at 11 AM or Charlotte at 7 PM

Details: https://t.co/0s3HzYzgod https://t.co/w8rs2aZp0X",D
"Tomorrow is our #SOTD23 address and swearing-in ceremony.

You can attend in Concord or Charlotte.

Learn more here… https://t.co/z2sbeocJXI",D
"RT @Rep_Magaziner: 👋Hi there! It’s Rep. Seth Magaziner from RI’s Second Congressional District.

I’m a husband, dad, and lifelong RIer who…",D
"RT @Mark_Kido: ""If you live in an oppressive society, you've got to be resilient. You can't let each little thing crush you. You have take…",D
RT @AdamKinzinger: Defaulting on the US debt by not raising the debt limit will crush the economy and skyrocket interest rates on US debt.…,D
"“Change does not roll in on the wheels of inevitability, but comes through continuous struggle. And so we must stra… https://t.co/xdtMxA46ee",D
"RT @RepEspaillat: As proud @pbs_1914 members, we are making a difference in our community. 

Through our commitment to brotherhood, scholar…",D
Spotted at Archive CLT. #MLKDay https://t.co/aLjD5Iachy,D
"The Town of Davidson will host a Dr. Martin Luther King, Jr. celebration on Monday, January 16, 2023 at 10:00 at Da… https://t.co/jgRaZvtAFM",D
"#MLKDay is about action. We can’t stand by and let injustice happen. We have a moral obligation to act.

Justice is… https://t.co/nqRdWsgqjh",D
"Dr. Martin Luther King, Jr. would have turned 94 years old today. 

All throughout this weekend, we remember his co… https://t.co/8OnrjbTC97",D
"RT @wcnc: On #Flashpoint, @RepAdams tells @Bentnews she's hopeful for bipartisan agreement in a divided U.S. House.
https://t.co/3xjTZ9mi3Q",D
Happy #NationalHatDay and Happy Founders Day to all of my @AKASorority1908 Sisters! https://t.co/ZYpGcNPHnq,D
RT @KirstenAllen46: .@POTUS: “More than 100 years of employing that motto: By Culture and By Merit. That’s made us a better America…With my…,D
"Best wishes to @RepBonamici and her husband, and my prayers for a full recovery for each. https://t.co/shmuFZQ4qz",D
"Happy #KoreanAmericanDay! Today, we recognize the incredible contributions of Korean Americans in communities all a… https://t.co/ey16sN7FWz",D
"RT @StopFraud: We are so grateful to everyone who helped get the AML #Whistleblower Improvement Act over the finish line!

Thank you again…",D
"Great to see North Carolina’s Congressional Art Competition winners in the Cannon tunnel to the Capitol!

Congratul… https://t.co/Z5FX1bQPfp",D
"RT @SecBlinken: Ash Carter was a dear friend who served our nation with his trademark brilliance, dedication, and distinction. I joined fri…",D
The far-right Republican conference is advancing legislation that will appeal to Trump Republicans and the MAGA min… https://t.co/MZMkbjDOBM,D
"RT @Clt_TrafficGuy: 🙏May I be serious a moment?
When you get behind the wheel, driving is easy, mostly safe and routine.  But over the past…",D
"RT @WhiteHouse: Since November, nearly 16 million Americans have signed up for health coverage through the Affordable Care Act.

And, thank…",D
"RT @Blake_Allen13: Biden Presidential Approval Poll from YouGov/The Economist:

Approve:      50%
Disapprove: 47%

This is the first time t…",D
"RT @POTUS: The partnership between the United States, Mexico, and Canada makes our economies and supply chains stronger, our countries safe…",D
"RT @RepCori: Thank you to all the advocates &amp; partners who submitted amicus briefs in support of @POTUS's life-changing, student debt relie…",D
"RT @RepJeffries: Extreme MAGA Republicans have established a Select Committee on Insurrection Protection.

We will fight it tooth and nail.",D
"In their first week in Congress, extreme MAGA Republicans are launching new attacks on women’s reproductive freedom… https://t.co/Dqqm7pFBVf",D
"RT @Rep_Stansbury: Last night, I voted NO on House Republicans’ extreme rules package designed to appease the far-right &amp; cut the programs…",D
RT @hakeemjeffries: When will House Republicans decide it’s time for disgraced Congressman George Santos to go?,D
Thanks for your hard work! https://t.co/6pQUjlufq6,D
"RT @RepTeresaLF: Guess what? I voted ""NO."" https://t.co/b6ShgOYXCY",D
"RT @hannaherinlang: inbox: Bank of America is donating $1 million to @discoveryplace, creating a STEM career center that will partner with…",D
"If you are a Western North Carolina resident in District 11, please see below.

Thank you to my colleague… https://t.co/b9oZExjrqe",D
RT @ReubenJones1: Inbox: @ChuckEdwards4NC says the office of former Rep. Madison Cawthorn did not transfer official constituent casework an…,D
"RT @RepDeborahRoss: One week in and Republicans are already working to strip women of their reproductive freedom. 

They are bringing extre…",D
"Without missing a beat, House Republicans are introducing legislation to give away billions to rich tax cheats.

I’m voting no.",D
RT @BMHCaucus: The @BMHCaucus applauds the leadership of @HUMensBB to champion the issue of Black maternal health for families in Washingto…,D
"RT @CLTgov: 🔴LIVE

Tune in now to watch the #CLTCC Housing &amp; Jobs Summit. 
https://t.co/t9L5IU63CV",D
On the way back to DC for tonight’s House rules vote. https://t.co/MRMbNmmL8Y,D
"Happy Founders’ Day to Phi Beta Sigma Fraternity, Inc.! https://t.co/hdDueZy03d",D
RT @CATSRideTransit: THREAD: We wanted to update the #CLT community on recent coverage of a strike vote from the SMART Union bus operators.…,D
"Honored to be officially sworn in to the 118th Congress, and ready to get to work today as consider and debate the… https://t.co/tom1xEFWfZ",D
RT @EleanorNorton: The change to the rules package to bar DC's mayor access to the House floor – access governors of states have – unconsci…,D
"RT @RepStenyHoyer: I join in condemning the violent attack by far-right extremists on Brazil’s Congress, presidential palace, and Supreme C…",D
So glad to see this. https://t.co/PXWp7TKt60,D
"We’ll never forget that. I have always voted to protect Social Security, Medicare, and Medicaid and to enhance and… https://t.co/jTftG8aiZ9",D
"We are adjourned. Proud to be sworn in as your Congresswoman, and ready to get to work.",D
"RT @KevinFreyTV: And on a historical note: Brooklyn's @RepJeffries is now, officially, the first Black person to lead a major party on Capi…",D
"RT @cspanSusan: .@cspan's #HouseSpeaker vote coverage is getting kudos. FYI: Our non-profit network doesn't get a dime of gov $$. Sadly, we…",D
"Yet again, on January 6th, the far-right has inspired enmity and violence in this sacred temple to democracy.

I am praying for all of us.",D
I just cast my 15th‼️ vote for the Honorable Hakeem Jeffries for Speaker of the House.,D
We’re going to the 15th vote for Speaker.,D
Now we’re voting on a motion to adjourn. https://t.co/PLoqpalvIv,D
@andreharris89 Howard!,D
"I just cast my vote a 14th‼️ time for the Honorable Hakeem Jeffries for Speaker of the House.

If the far-right Fre… https://t.co/0Lz3spX1fz",D
We’re back on the floor.,D
RT @ReubenJones1: Two Years Later: I spoke with @RepAdams about her experience on January 6 and how she believes the day should be remember…,D
